[16820] 2019-08-12 16:18:08,181 - cortix - INFO - Created Cortix object
[16820] 2019-08-12 16:18:15,759 - cortix - INFO - Launching Module <__main__.Plot object at 0x6e62db50>
[16820] 2019-08-12 16:18:15,782 - cortix - INFO - Launching Module <__main__.BallHandler object at 0x6e62db10>
[16820] 2019-08-12 16:18:15,805 - cortix - INFO - Launching Module <__main__.BallHandler object at 0x6e64f8b0>
[16820] 2019-08-12 16:18:15,830 - cortix - INFO - Launching Module <__main__.BallHandler object at 0x6e5bc270>
[16820] 2019-08-12 16:18:15,856 - cortix - INFO - Launching Module <__main__.BallHandler object at 0x6e5c6c10>
[16820] 2019-08-12 16:18:15,919 - cortix - INFO - Launching Module <__main__.BallHandler object at 0x6e5d85b0>
[16820] 2019-08-12 16:18:15,958 - cortix - INFO - Launching Module <__main__.BallHandler object at 0x6e5e3f70>
[16820] 2019-08-12 16:18:16,015 - cortix - INFO - Launching Module <__main__.BallHandler object at 0x6e573970>
[16820] 2019-08-12 16:18:16,111 - cortix - INFO - Launching Module <__main__.BallHandler object at 0x6e584330>
[16820] 2019-08-12 16:18:16,183 - cortix - INFO - Launching Module <__main__.BallHandler object at 0x6e5d85d0>
[16820] 2019-08-12 16:18:16,293 - cortix - INFO - Launching Module <__main__.BallHandler object at 0x6e5e3f90>
